pais,norma,articulo,tipo_penal,catalogo_descripcion
Argentina,Código Penal,art. 41 quinquies CP,Agravante de finalidad terrorista,"Catálogo depurado de supuestos posibles para art. 41 quinquies CP - Agravante de finalidad terrorista (Argentina). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Protesta masiva calificada como amenaza al orden público: El paro o levantamiento indígena produce presión política y disrupción social. No puede tratarse como terrorismo sin finalidad de causar terror generalizado, violencia grave indiscriminada o uso de medios letales.

2. Daños o enfrentamientos aislados atribuidos a toda la comunidad: Incidentes violentos aislados durante una movilización no justifican calificar a la comunidad o dirigencia como terrorista sin autoría individualizada y finalidad terrorista.

3. Discurso radical o consigna de resistencia: El lenguaje político fuerte, la denuncia de colonialismo o la consigna de resistencia no equivalen a terrorismo si no existe amenaza concreta de violencia grave contra la población.

4. Bloqueo de servicios o vías durante paro nacional: La afectación de circulación o servicios en un paro no configura terrorismo por sí sola. Debe probarse finalidad terrorista y proporcionalidad estricta.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Argentina,Código Penal,arts. 149 bis / 149 ter CP,Amenazas y coacciones,"Catálogo depurado de supuestos posibles para arts. 149 bis / 149 ter CP - Amenazas y coacciones (Argentina). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Advertencia de intensificar medidas de hecho: La comunidad advierte que marchará, cortará vías o no permitirá ingreso de maquinaria. Debe diferenciarse presión política de amenaza penal seria, individualizada e ilegítima.

2. Carta o comunicado a empresa o autoridad: Se exige retiro de maquinaria, suspensión de permisos o diálogo bajo advertencia de movilización. No basta el tono fuerte; se requiere amenaza concreta a persona o bien jurídico.

3. Presión comunitaria durante negociación: La presencia colectiva en una negociación puede generar presión, pero no coacción si no existe violencia, amenaza seria o finalidad ilegítima.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Argentina,Código Penal,arts. 183–184 CP,Daños y daños agravados,"Catálogo depurado de supuestos posibles para arts. 183–184 CP - Daños y daños agravados (Argentina). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Pintas, carteles, ruptura menor o desplazamiento de vallas: Durante la protesta se reportan daños menores. Debe probarse daño material real, autoría individual, dolo y nexo causal; no procede responsabilidad colectiva.

2. Afectación de maquinaria o bienes de empresa: La comunidad rodea, impide uso o daña presuntamente maquinaria. Debe distinguirse impedimento de uso, protesta y daño típico.

3. Incendio o quema simbólica sin daño relevante: La quema de objetos de protesta no basta como daño agravado o estrago sin afectación material relevante y riesgo concreto.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Argentina,Código Penal,arts. 186–189 CP,"Incendio, explosión u otros estragos","Catálogo depurado de supuestos posibles para arts. 186–189 CP - Incendio, explosión u otros estragos (Argentina). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Fogatas, quema de objetos o humo en protesta: Debe distinguirse fogata ceremonial o quema simbólica de incendio peligroso, explosión o estrago con peligro común.

2. Afectación alegada a infraestructura: Si se alega incendio o explosión en infraestructura, se requiere pericia, daño real, riesgo común, autoría individualizada y dolo.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Argentina,Código Penal,arts. 237–238 CP,Atentado contra la autoridad,"Catálogo depurado de supuestos posibles para arts. 237–238 CP - Atentado contra la autoridad (Argentina). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Negativa colectiva a acatar una orden de retiro: La comunidad se niega a retirarse de una vía, predio o institución hasta que exista diálogo. Debe verificarse si la orden era legítima, clara, proporcional, comunicada adecuadamente y si la negativa fue individualizada.

2. Resistencia ante desalojo o ingreso de maquinaria: Integrantes de la comunidad bloquean el paso, se sientan en el camino o forman cordones humanos. Para configurar ataque o resistencia penal deben acreditarse violencia o amenazas cuando el tipo lo exige, y no solo resistencia civil comunitaria.

3. Forcejeos menores durante operativo policial: En un operativo se producen empujones o tensión. La imputación requiere individualizar autoría, entidad de la violencia, proporcionalidad del operativo y posible uso excesivo de fuerza estatal.

4. Incumplimiento de decisión administrativa relacionada con territorio: La comunidad no acata una resolución que autoriza ingreso de empresa, maquinaria o fuerza pública. Debe ponderarse consulta previa, vías institucionales disponibles y legitimidad material de la orden.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Argentina,Código Penal,arts. 89–92 CP,Lesiones,"Catálogo depurado de supuestos posibles para arts. 89–92 CP - Lesiones (Argentina). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Lesiones durante operativo policial: Se atribuyen lesiones a manifestantes en medio de forcejeos. Debe evaluarse uso de fuerza estatal, autoría individual, entidad de la lesión, nexo causal y legítima defensa o resistencia comunitaria.

2. Lesiones recíprocas entre manifestantes y fuerza pública: Debe diferenciarse responsabilidad individual de contexto de represión y evitar imputación colectiva a autoridades comunitarias.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Ecuador,COIP,Sedición militar / policial,Sedición militar / policial,"Catálogo depurado de supuestos posibles para Sedición militar / policial - Sedición militar / policial (Ecuador). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Invocación al pueblo o a la autoridad comunitaria: La comunidad invoca al pueblo, a la nación indígena o a la autoridad ancestral para legitimar la protesta. Debe distinguirse discurso político e identidad colectiva de atribución ilegítima de derechos del pueblo o sedición.

2. Desconocimiento simbólico de una decisión estatal: La comunidad declara que no acatará una medida inconsulta. Esto no configura sedición si no existe empleo de armas, finalidad de impedir el régimen constitucional o, en Ecuador, si no intervienen sujetos militares/policiales cuando el tipo está limitado a ellos.

3. Asamblea que declara autonomía territorial: Una declaración comunitaria de autonomía, territorio libre de minería o resistencia no equivale a sedición sin actos típicos de usurpación institucional o violencia armada.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Ecuador,COIP,art. 154 COIP,Intimidación,"Catálogo depurado de supuestos posibles para art. 154 COIP - Intimidación (Ecuador). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Advertencia de intensificar medidas de hecho: La comunidad advierte que marchará, cortará vías o no permitirá ingreso de maquinaria. Debe diferenciarse presión política de amenaza penal seria, individualizada e ilegítima.

2. Carta o comunicado a empresa o autoridad: Se exige retiro de maquinaria, suspensión de permisos o diálogo bajo advertencia de movilización. No basta el tono fuerte; se requiere amenaza concreta a persona o bien jurídico.

3. Presión comunitaria durante negociación: La presencia colectiva en una negociación puede generar presión, pero no coacción si no existe violencia, amenaza seria o finalidad ilegítima.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Ecuador,COIP,art. 200 COIP,Usurpación,"Catálogo depurado de supuestos posibles para art. 200 COIP - Usurpación (Ecuador). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Ingreso o permanencia en territorio ancestral en disputa: La comunidad ingresa o permanece en un espacio que considera ancestral o comunitario frente a una empresa, particular o entidad estatal. El análisis debe verificar preexistencia indígena, posesión tradicional, relevamiento territorial, propiedad comunitaria, consulta previa y si existieron violencia, amenazas, engaño, abuso de confianza o clandestinidad.

2. Recuperación territorial sin violencia grave: La comunidad realiza una recuperación territorial como forma de defensa colectiva. Puede existir permanencia prolongada, instalación de carpas, cercos comunitarios o guardia territorial. La imputación por usurpación exige diferenciar reivindicación territorial de despojo penalmente típico.

3. Ocupación de predio vinculado a proyecto extractivo: La comunidad ocupa temporalmente un área de acceso, campamento o zona de intervención para impedir actividades extractivas inconsultas. Debe analizarse si la conducta afecta posesión de un inmueble, si existe medio comisivo típico y si la protesta se vincula con consulta previa y defensa territorial.

4. Conflicto de linderos, caminos comunitarios o sitios sagrados: La disputa surge por acceso a caminos, fuentes de agua, cementerios, sitios ceremoniales o zonas de uso tradicional. El análisis penal debe evitar reducir el conflicto a propiedad privada sin ponderar derechos colectivos indígenas.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Ecuador,COIP,art. 204 COIP,Daño a bien ajeno,"Catálogo depurado de supuestos posibles para art. 204 COIP - Daño a bien ajeno (Ecuador). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Pintas, carteles, ruptura menor o desplazamiento de vallas: Durante la protesta se reportan daños menores. Debe probarse daño material real, autoría individual, dolo y nexo causal; no procede responsabilidad colectiva.

2. Afectación de maquinaria o bienes de empresa: La comunidad rodea, impide uso o daña presuntamente maquinaria. Debe distinguirse impedimento de uso, protesta y daño típico.

3. Incendio o quema simbólica sin daño relevante: La quema de objetos de protesta no basta como daño agravado o estrago sin afectación material relevante y riesgo concreto.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Ecuador,COIP,art. 336 COIP,Rebelión,"Catálogo depurado de supuestos posibles para art. 336 COIP - Rebelión (Ecuador). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Levantamiento indígena o paro nacional: Una movilización territorial extensa, con marchas, bloqueos y presión política, no equivale a rebelión si no existe alzamiento armado o acciones violentas orientadas a derrocar al gobierno o desconocer la Constitución.

2. Exigencia de renuncia de autoridades o cambio de política pública: La demanda de renuncia, derogatoria de medidas o suspensión de proyecto extractivo pertenece al debate político y protesta social. Solo puede aproximarse a rebelión si se acompaña de violencia grave y finalidad institucional típica.

3. Control territorial comunitario temporal: La comunidad controla accesos o territorio para impedir ingreso de fuerza pública o empresa. Debe diferenciarse defensa territorial de alzamiento armado.

4. Resistencia frente a fuerza pública: Los enfrentamientos durante operativos no convierten automáticamente la protesta en rebelión sin estructura, armas y finalidad constitucionalmente subversiva.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
Ecuador,COIP,art. 345 COIP,Sabotaje,"Catálogo depurado de supuestos posibles para art. 345 COIP - Sabotaje (Ecuador). Solo se incluyen escenarios que razonablemente podrían ser discutidos bajo este tipo penal en contextos de protesta indígena. Cada supuesto debe verificarse con prueba individualizada, legalidad estricta, lesividad real, proporcionalidad, mínima intervención y enfoque intercultural.

1. Bloqueo de acceso a infraestructura estratégica: La comunidad bloquea acceso a mina, central, oleoducto, carretera, edificio público o instalación energética. Para sabotaje debe probarse daño real o afectación grave de bienes esenciales y dolo específico de trastornar economía u orden público.

2. Daños alegados a maquinaria o instalaciones: Se reportan daños a vehículos, cercos, puertas, campamentos o maquinaria. Debe individualizarse autoría, gravedad del daño, nexo causal y finalidad específica; no basta la presencia en protesta.

3. Interrupción de actividades extractivas por protesta: La empresa suspende operaciones por presión comunitaria o bloqueo. La suspensión económica no equivale automáticamente a sabotaje si no hay destrucción o afectación típica de bienes esenciales.

4. Quema de objetos o fogatas en protesta: Fogatas, quema simbólica de objetos o neumáticos no configuran sabotaje si no producen daño grave, peligro concreto o afectación real a infraestructura esencial.

Criterio de exclusión: si el hecho corresponde únicamente a protesta pacífica, discurso político, organización comunitaria, defensa territorial o ejercicio de derechos colectivos sin los elementos típicos del delito, debe excluirse del ámbito penal o tratarse por vías no penales."
